HS12,CPC
600623,28190
600624,28190
600631,28190
600632,28190
600633,28190
600634,28190
600641,28190
600642,28190
600643,28190
600644,28190
600690,28190
611510,28210
611521,28210
611522,28210
611529,28210
611530,28210
611594,28210
611595,28210
611596,28210
611599,28210
610120,28221
610130,28221
610190,28221
610310,28221
610322,28221
610323,28221
610329,28221
610331,28221
610332,28221
610333,28221
610339,28221
610341,28221
610342,28221
610343,28221
610349,28221
610510,28222
610520,28222
610590,28222
610711,28222
610712,28222
610719,28222
610721,28222
610722,28222
610729,28222
610791,28222
610799,28222
610210,28223
610220,28223
610230,28223
610290,28223
610413,28223
610419,28223
610422,28223
610423,28223
610429,28223
610431,28223
610432,28223
610433,28223
610439,28223
610441,28223
610442,28223
610443,28223
610444,28223
610449,28223
610451,28223
610452,28223
610453,28223
610459,28223
610461,28223
610462,28223
610463,28223
610469,28223
610610,28224
610620,28224
610690,28224
610811,28224
610819,28224
610821,28224
610822,28224
610829,28224
610831,28224
610832,28224
610839,28224
610891,28224
610892,28224
610899,28224
610910,28225
610990,28225
611011,28226
611012,28226
611019,28226
611020,28226
611030,28226
611090,28226
611120,28227
611130,28227
611190,28227
611211,28228
611212,28228
611219,28228
611220,28228
611231,28228
611239,28228
611241,28228
611249,28228
611420,28228
611430,28228
611490,28228
611610,28229
611691,28229
611692,28229
611693,28229
611699,28229
611710,28229
611780,28229
611790,28229
620111,28231
620112,28231
620113,28231
620119,28231
620191,28231
620192,28231
620193,28231
620199,28231
620311,28231
620312,28231
620319,28231
620322,28231
620323,28231
620329,28231
620331,28231
620332,28231
620333,28231
620339,28231
620341,28231
620342,28231
620343,28231
620349,28231
620520,28232
620530,28232
620590,28232
620711,28232
620719,28232
620721,28232
620722,28232
620729,28232
620791,28232
620799,28232
620211,28233
620212,28233
620213,28233
620219,28233
620291,28233
620292,28233
620293,28233
620299,28233
620411,28233
620412,28233
620413,28233
620419,28233
620421,28233
620422,28233
620423,28233
620429,28233
620431,28233
620432,28233
620433,28233
620439,28233
620441,28233
620442,28233
620443,28233
620444,28233
620449,28233
620451,28233
620452,28233
620453,28233
620459,28233
620461,28233
620462,28233
620463,28233
620469,28233
620610,28234
620620,28234
620630,28234
620640,28234
620690,28234
620811,28234
620819,28234
620821,28234
620822,28234
620829,28234
620891,28234
620892,28234
620899,28234
620920,28235
620930,28235
620990,28235
621111,28236
621112,28236
621120,28236
621132,28236
621133,28236
621139,28236
621142,28236
621143,28236
621149,28236
621210,28237
621220,28237
621230,28237
621290,28237
621320,28238
621390,28238
621410,28238
621420,28238
621430,28238
621440,28238
621490,28238
621510,28238
621520,28238
621590,28238
621600,28238
621710,28238
621790,28238
420310,28241
420329,28242
420330,28242
420340,28242
392620,28243
611300,28250
621010,28250
621020,28250
621030,28250
621040,28250
621050,28250
650100,28261
650200,28261
650400,28262
650500,28262
650699,28269
650700,28269
430211,28310
430219,28310
430220,28310
430230,28310
430310,28320
430390,28320
430400,28330
411410,29110
411420,29110
410411,29120
410419,29120
410441,29120
410449,29120
410711,29120
410712,29120
410719,29120
410791,29120
410792,29120
410799,29120
410510,29130
410530,29130
410621,29130
410622,29130
410631,29130
410632,29130
410640,29130
410691,29130
410692,29130
411200,29130
411310,29130
411320,29130
411330,29130
411390,29130
411510,29130
420100,29210
420211,29220
420212,29220
420219,29220
420221,29220
420222,29220
420229,29220
420231,29220
420232,29220
420239,29220
420291,29220
420292,29220
420299,29220
960500,29220
911390,29230
420500,29290
640192,29310
640199,29310
640220,29320
640291,29320
640299,29320
640351,29330
640359,29330
640391,29330
640399,29330
640510,29330
640419,29340
640420,29340
640520,29340
640212,29410
640312,29410
640411,29420
640219,29490
640319,29490
640110,29510
640340,29510
640320,29520
640590,29520
640610,29600
640620,29600
640690,29600
440710,31101
440721,31102
440722,31102
440725,31102
440726,31102
440727,31102
440728,31102
440729,31102
440791,31102
440792,31102
440793,31102
440794,31102
440795,31102
440799,31102
440610,31109
440910,31211
440921,31212
440929,31219
440500,31220
440121,31230
440122,31230
440310,31310
440690,31320
440410,31330
440420,31330
441239,31411
441231,31412
441232,31412
441294,31421
441299,31421
441294,31422
441299,31422
441011,31431
441012,31432
441019,31439
441090,31439
441112,31441
441113,31441
441114,31441
441192,31442
441193,31449
441194,31449
441210,31450
440810,31511
440831,31512
440839,31512
440890,31512
441300,31520
441810,31600
441820,31600
441840,31600
441850,31600
441860,31600
441871,31600
441872,31600
441879,31600
441890,31600
441510,31700
441520,31700
441600,31700
441700,31911
441900,31912
442010,31913
442090,31913
441400,31914
442110,31914
442190,31914
450190,31921
450200,31921
450310,31922
450390,31922
450410,31922
450490,31922
460121,31923
460122,31923
460129,31923
460192,31923
460193,31923
460194,31923
460199,31923
460211,31923
460212,31923
460219,31923
460290,31923
470200,32111
470311,32112
470319,32112
470321,32112
470329,32112
470411,32112
470419,32112
470421,32112
470429,32112
470100,32113
470500,32113
470610,32113
470620,32113
470630,32113
470691,32113
470692,32113
470693,32113
480100,32121
480210,32122
480220,32129
480240,32129
480254,32129
480255,32129
480256,32129
480257,32129
480258,32129
480261,32129
480262,32129
480269,32129
480300,32131
480411,32132
480419,32132
480421,32133
480429,32133
480431,32133
480439,32133
480441,32133
480442,32133
480449,32133
480451,32133
480452,32133
480459,32133
480840,32133
480511,32134
480512,32134
480519,32134
480524,32135
480525,32135
480530,32136
480540,32136
480550,32136
480591,32136
480592,32136
480593,32136
481390,32136
480610,32137
480620,32137
480630,32137
480640,32137
480700,32141
480890,32142
481013,32143
481014,32143
481019,32143
481022,32143
481029,32143
481031,32143
481032,32143
481039,32143
481092,32143
481099,32143
480920,32149
480990,32149
481110,32149
481141,32149
481149,32149
481151,32149
481159,32149
481160,32149
481190,32149
480810,32151
481930,32152
481940,32152
481910,32153
481920,32153
481950,32153
481960,32153
481620,32191
481690,32191
481710,32192
481720,32192
481730,32192
481810,32193
481820,32193
481830,32193
481850,32193
481890,32193
481420,32194
481490,32194
590500,32195
961900,32196
482110,32197
482190,32197
481200,32198
481310,32199
481320,32199
482210,32199
482290,32199
482320,32199
482340,32199
482361,32199
